order	season	week	team_a	team_b	general_pick	win_pct	public_pct	leverage	ratio	quick_insight	quick_read	team_to_consider	updated_at	kickoff_time	home_team	upset_featured	upset_rank
1	2026	2	Oklahoma	Michigan	Oklahoma	64.43612541	92	-27.56387459		Oklahoma has the higher win probability, but Michigan is being overlooked: 35.6% fair chance vs 8.0% public picks.			Fri, Sep 11, 2026 â€“ 6:16 PM CT				
2	2026	2	Wake Forest	Purdue	Wake Forest	58.54009925	81	-22.45990075		Wake Forest has the higher win probability, but Purdue is being overlooked: 41.5% fair chance vs 19.0% public picks.			Fri, Sep 11, 2026 â€“ 6:16 PM CT				
3	2026	2	South Florida	Army	Army	60.01796945	81	-20.98203055		Army has the higher win probability, but South Florida is being overlooked: 40.0% fair chance vs 19.0% public picks.			Fri, Sep 11, 2026 â€“ 6:16 PM CT				
4	2026	2	Mississippi State	Minnesota	Minnesota	50.32696835	22	28.32696835		GOLDEN OPPORTUNITY! This game is nearly a 50/50, but picking Minnesota is smart since they're slightly favored and have huge leverage.	best_upset		Fri, Sep 11, 2026 â€“ 6:16 PM CT				
5	2026	2	UCF	Pittsburgh	Pittsburgh	70.50331643	92	-21.49668357		Pittsburgh has the higher win probability, but UCF is being overlooked: 29.5% fair chance vs 8.0% public picks.			Fri, Sep 11, 2026 â€“ 6:16 PM CT				
6	2026	2	California	Syracuse	Syracuse	61.73677069	88	-26.26322931		Syracuse has the higher win probability, but California is being overlooked: 38.3% fair chance vs 12.0% public picks.			Fri, Sep 11, 2026 â€“ 6:16 PM CT				
7	2026	2	Duke	Illinois	Illinois	67.5031247	89	-21.4968753		Illinois has the higher win probability, but Duke is being overlooked: 32.5% fair chance vs 11.0% public picks.			Fri, Sep 11, 2026 â€“ 6:16 PM CT				
8	2026	2	Memphis	Boise State	Boise State	73.99555582	89	-15.00444418		Boise State has the higher win probability, but Memphis is being overlooked: 26.0% fair chance vs 11.0% public picks.	safest_favorite		Fri, Sep 11, 2026 â€“ 6:16 PM CT				
9	2026	2	Ohio State	Texas	Texas	52.17391304	45	7.173913043		Nearly a 50/50 game, but Texas a little better win probability and a little more leverage.			Fri, Sep 11, 2026 â€“ 6:16 PM CT				
10	2026	2	North Dakota State	Air Force	North Dakota State	53.24675325	86	-32.75324675		NDSU has the higher win probability, but Air Force is heavily overlooked: 46.8% chance to win with monsterous leverage.	best_leverage	Air Force	Fri, Sep 11, 2026 â€“ 6:16 PM CT			TRUE	1
