order,season,week,team_a,team_b,general_pick,win_pct,public_pct,leverage,ratio,quick_insight,quick_read,team_to_consider,updated_at,kickoff_time,home_team,upset_featured,upset_rank
1,2026,1,Patriots,Seahawks,Seahawks,62.5137817,79,-16.4862183,,"Seahawks has the higher win probability, but Patriots is being overlooked: 37.5% fair chance vs 21.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
2,2026,1,Rams,49ers,49ers,64.43612541,89,-24.56387459,,"49ers has the higher win probability, but Rams is being overlooked: 35.6% fair chance vs 11.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
3,2026,1,Buccaneers,Bengals,Bengals,64.43612541,74,-9.563874591,,"Bengals has the higher win probability, but Buccaneers is being overlooked: 35.6% fair chance vs 26.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
4,2026,1,Saints,Lions,Lions,73.4648854,96,-22.5351146,,"Lions has the higher win probability, but Saints is being overlooked: 26.5% fair chance vs 4.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
5,2026,1,Jets,Titans,Titans,54.27435388,82,-27.72564612,,"Titans has the higher win probability, but Jets is being overlooked: 45.7% fair chance vs 18.0% public picks.",,Jets,"Mon, Aug 31, 2026 – 7:15 PM CT",,,TRUE,2
6,2026,1,Ravens,Colts,Ravens,61.73677069,85,-23.26322931,,"Ravens has the higher win probability, but Colts is being overlooked: 38.3% fair chance vs 15.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
7,2026,1,Falcons,Steelers,Steelers,60.01796945,78,-17.98203055,,"Steelers has the higher win probability, but Falcons is being overlooked: 40.0% fair chance vs 22.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
8,2026,1,Bears,Panthers,Bears,58.2374219,87,-28.7625781,,"Bears has the higher win probability, but Panthers is being overlooked: 41.8% fair chance vs 13.0% public picks.",best_leverage,Panthers,"Mon, Aug 31, 2026 – 7:15 PM CT",,,TRUE,3
9,2026,1,Browns,Jaguars,Jaguars,76.04938272,94,-17.95061728,,"Jaguars has the higher win probability, but Browns is being overlooked: 24.0% fair chance vs 6.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
10,2026,1,Bills,Texans,Bills,51.08342362,78,-26.91657638,,"Bills has the higher win probability, but Texans is being overlooked: 48.9% fair chance vs 22.0% public picks.",best_upset,Texans,"Mon, Aug 31, 2026 – 7:15 PM CT",,,TRUE,1
11,2026,1,Dolphins,Raiders,Raiders,63.85542169,84,-20.14457831,,"Raiders has the higher win probability, but Dolphins is being overlooked: 36.1% fair chance vs 16.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
12,2026,1,Packers,Vikings,Vikings,53.24675325,27,26.24675325,,Vikings has the higher win probability and is under-picked by the public.,,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
13,2026,1,Commanders,Eagles,Eagles,66.42538118,91,-24.57461882,,"Eagles has the higher win probability, but Commanders is being overlooked: 33.6% fair chance vs 9.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
14,2026,1,Cardinals,Chargers,Chargers,81.65034965,96,-14.34965035,,"Chargers has the higher win probability, but Cardinals is being overlooked: 18.3% fair chance vs 4.0% public picks.",safest_favorite,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
15,2026,1,Cowboys,Giants,Cowboys,57.57575758,72,-14.42424242,,"Cowboys has the higher win probability, but Giants is being overlooked: 42.4% fair chance vs 28.0% public picks.",,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
16,2026,1,Broncos,Chiefs,Chiefs,56.6970547,37,19.6970547,,Chiefs has the higher win probability and is under-picked by the public.,,,"Mon, Aug 31, 2026 – 7:15 PM CT",,,,
